o : 0, h : 0, w : 18, ich : 0, kh : 0, kw : 1, ph : -1, pw : 18, pix_idx : -10, weight_idx : 1
o : 0, h : 0, w : 18, ich : 0, kh : 0, kw : 2, ph : -1, pw : 19, pix_idx : -9, weight_idx : 2
o : 0, h : 0, w : 18, ich : 0, kh : 1, kw : 0, ph : 0, pw : 17, pix_idx : 17, weight_idx : 3
o : 0, h : 0, w : 18, ich : 0, kh : 1, kw : 1, ph : 0, pw : 18, pix_idx : 18, weight_idx : 4
o : 0, h : 0, w : 18, ich : 0, kh : 1, kw : 2, ph : 0, pw : 19, pix_idx : 19, weight_idx : 5
o : 0, h : 0, w : 18, ich : 0, kh : 2, kw : 0, ph : 1, pw : 17, pix_idx : 45, weight_idx : 6
o : 0, h : 0, w : 18, ich : 0, kh : 2, kw : 1, ph : 1, pw : 18, pix_idx : 46, weight_idx : 7
o : 0, h : 0, w : 18, ich : 0, kh : 2, kw : 2, ph : 1, pw : 19, pix_idx : 47, weight_idx : 8
wが18の時
o : 0, h : 0, w : 19, ich : 0, kh : 0, kw : 0, ph : -1, pw : 18, pix_idx : -10, weight_idx : 0
o : 0, h : 0, w : 19, ich : 0, kh : 0, kw : 1, ph : -1, pw : 19, pix_idx : -9, weight_idx : 1
o : 0, h : 0, w : 19, ich : 0, kh : 0, kw : 2, ph : -1, pw : 20, pix_idx : -8, weight_idx : 2
o : 0, h : 0, w : 19, ich : 0, kh : 1, kw : 0, ph : 0, pw : 18, pix_idx : 18, weight_idx : 3
o : 0, h : 0, w : 19, ich : 0, kh : 1, kw : 1, ph : 0, pw : 19, pix_idx : 19, weight_idx : 4
o : 0, h : 0, w : 19, ich : 0, kh : 1, kw : 2, ph : 0, pw : 20, pix_idx : 20, weight_idx : 5
o : 0, h : 0, w : 19, ich : 0, kh : 2, kw : 0, ph : 1, pw : 18, pix_idx : 46, weight_idx : 6
o : 0, h : 0, w : 19, ich : 0, kh : 2, kw : 1, ph : 1, pw : 19, pix_idx : 47, weight_idx : 7
o : 0, h : 0, w : 19, ich : 0, kh : 2, kw : 2, ph : 1, pw : 20, pix_idx : 48, weight_idx : 8
wが19の時
o : 0, h : 0, w : 20, ich : 0, kh : 0, kw : 0, ph : -1, pw : 19, pix_idx : -9, weight_idx : 0
o : 0, h : 0, w : 20, ich : 0, kh : 0, kw : 1, ph : -1, pw : 20, pix_idx : -8, weight_idx : 1
o : 0, h : 0, w : 20, ich : 0, kh : 0, kw : 2, ph : -1, pw : 21, pix_idx : -7, weight_idx : 2
o : 0, h : 0, w : 20, ich : 0, kh : 1, kw : 0, ph : 0, pw : 19, pix_idx : 19, weight_idx : 3
o : 0, h : 0, w : 20, ich : 0, kh : 1, kw : 1, ph : 0, pw : 20, pix_idx : 20, weight_idx : 4
o : 0, h : 0, w : 20, ich : 0, kh : 1, kw : 2, ph : 0, pw : 21, pix_idx : 21, weight_idx : 5
